"DATE_BLOCK_NUM","MES","ITEM_ID","SUM_PRICE","SUM_COUNT","TOTAL"
6,01/07/13,21996,"449","1","449"
6,01/07/13,19408,"27033.05","14","378462.7"
6,01/07/13,20139,".14","20","2.8"
6,01/07/13,10469,"4389","11","48279"
6,01/07/13,10733,"8224.18","31","254949.58"
6,01/07/13,2417,"22280","69","1537320"
6,01/07/13,13370,"4171.05","14","58394.7"
6,01/07/13,12128,"18705","45","841725"
6,01/07/13,4163,"303942","227","68994834"
6,01/07/13,3705,"96522","69","6660018"
6,01/07/13,13977,"298","2","596"
6,01/07/13,14096,"294","3","882"
6,01/07/13,16937,"6279","21","131859"
6,01/07/13,16647,"4023","25","100575"
6,01/07/13,16900,"43496.09","127","5524003.43"
6,01/07/13,14718,"13693.26","53","725742.78"
6,01/07/13,16180,"15289","11","168179"
6,01/07/13,11833,"714","12","8568"
6,01/07/13,12106,"3396","4","13584"
6,01/07/13,10284,"2691","9","24219"
6,01/07/13,19339,"2792","8","22336"
6,01/07/13,14472,"4990","10","49900"
6,01/07/13,1003,"1881","19","35739"
6,01/07/13,13929,"4990","8","39920"
6,01/07/13,13811,"121866.06","410","49965084.6"
6,01/07/13,13817,"2982.09","21","62623.89"
6,01/07/13,14346,"2383.09","16","38129.44"
6,01/07/13,11068,"1197","3","3591"
6,01/07/13,7894,"269690.05","221","59601501.05"
6,01/07/13,18809,"248","1","248"
6,01/07/13,20194,"7920","12","95040"
6,01/07/13,20697,"1199","1","1199"
6,01/07/13,5273,"24665","22","542630"
6,01/07/13,6501,"94220","147","13850340"
6,01/07/13,11469,"812.98","6","4877.88"
6,01/07/13,17180,"1865","13","24245"
6,01/07/13,17381,"2093","7","14651"
6,01/07/13,17481,"20779.09","20","415581.8"
6,01/07/13,20040,"864.02","6","5184.12"
6,01/07/13,3426,"86733.01","134","11622223.34"
6,01/07/13,3183,"322532.01","963","310598325.63"
6,01/07/13,21372,"37167.18","31","1152182.58"
6,01/07/13,14164,"4669","15","70035"
6,01/07/13,17712,"3960","12","47520"
6,01/07/13,17240,"524","4","2096"
6,01/07/13,17193,"1559.09","11","17149.99"
6,01/07/13,17213,"1490","10","14900"
6,01/07/13,17526,"995","5","4975"
6,01/07/13,17860,"4258","11","46838"
6,01/07/13,16154,"13994","22","307868"
6,01/07/13,14841,"17114","145","2481530"
6,01/07/13,19188,"2161","15","32415"
6,01/07/13,21871,"1047","3","3141"
6,01/07/13,9315,"2094","6","12564"
6,01/07/13,8889,"199","1","199"
6,01/07/13,9836,"4537","13","58981"
6,01/07/13,10708,"1743","7","12201"
6,01/07/13,6466,"180488","300","54146400"
6,01/07/13,21888,"520","4","2080"
6,01/07/13,8404,"1043","7","7301"
6,01/07/13,8602,"1416","8","11328"
6,01/07/13,7891,"17619.05","8","140952.4"
6,01/07/13,2398,"351873.09","957","336742547.13"
6,01/07/13,11102,"4788","12","57456"
6,01/07/13,11360,"349","1","349"
6,01/07/13,13907,"1864.09","13","24233.17"
6,01/07/13,7419,"18162.01","8","145296.08"
6,01/07/13,7276,"13794","6","82764"
6,01/07/13,3140,"23454","23","539442"
6,01/07/13,18422,"985.05","5","4925.25"
6,01/07/13,18634,"4990","10","49900"
6,01/07/13,21619,"2495","5","12475"
6,01/07/13,18181,"1498","2","2996"
6,01/07/13,15314,"1197","3","3591"
6,01/07/13,7372,"1495","5","7475"
6,01/07/13,16024,"35127","16","562032"
6,01/07/13,15381,"148","1","148"
6,01/07/13,11622,"4190","10","41900"
6,01/07/13,17065,"1043","7","7301"
6,01/07/13,12370,"2075","15","31125"
6,01/07/13,12563,"1565","11","17215"
6,01/07/13,13162,"299","1","299"
6,01/07/13,10921,"5377.04","28","150557.12"
6,01/07/13,10819,"447","3","1341"
6,01/07/13,9988,"1593","7","11151"
6,01/07/13,10838,"1716","12","20592"
6,01/07/13,14408,"2836","20","56720"
6,01/07/13,12686,"9704.09","10","97040.9"
6,01/07/13,18016,"6500","17","110500"
6,01/07/13,17811,"5464.18","57","311458.26"
6,01/07/13,10158,"5681","19","107939"
6,01/07/13,12518,"98","1","98"
6,01/07/13,16734,"27984","16","447744"
6,01/07/13,10061,"1937","13","25181"
6,01/07/13,10068,"2587.32","21","54333.72"
6,01/07/13,18700,"522","4","2088"
6,01/07/13,9547,"149","1","149"
6,01/07/13,8762,"298","2","596"
6,01/07/13,10358,"1556.26","11","17118.86"
6,01/07/13,15036,"5070","14","70980"
6,01/07/13,14016,"594","3","1782"
6,01/07/13,15196,"996","4","3984"
6,01/07/13,12173,"2994","6","17964"
6,01/07/13,9083,"663","5","3315"
6,01/07/13,9383,"1970","16","31520"
6,01/07/13,8771,"1859","7","13013"
6,01/07/13,4485,"9434.25","16","150948"
6,01/07/13,1913,"8869","37","328153"
6,01/07/13,19154,"3719","20","74380"
6,01/07/13,19082,"7084.04","34","240857.36"
6,01/07/13,19105,"1196","4","4784"
6,01/07/13,19200,"822","6","4932"
6,01/07/13,19537,"4082.08","8","32656.64"
6,01/07/13,19543,"392","4","1568"
6,01/07/13,18772,"399","1","399"
6,01/07/13,15794,"5495","5","27475"
6,01/07/13,16426,"499","1","499"
6,01/07/13,19130,"1532","8","12256"
6,01/07/13,19637,"1596","4","6384"
6,01/07/13,3980,"1495","5","7475"
6,01/07/13,6600,"26118","24","626832"
6,01/07/13,6496,"18733.05","48","899186.4"
6,01/07/13,11226,"596","2","1192"
6,01/07/13,11256,"1196","4","4784"
6,01/07/13,37,"1416","10","14160"
6,01/07/13,17232,"352.99","3","1058.97"
6,01/07/13,9817,"1639","11","18029"
6,01/07/13,9950,"2537.09","18","45667.62"
6,01/07/13,14443,"830","7","5810"
6,01/07/13,14954,"2697","3","8091"
6,01/07/13,21688,"4304","9","38736"
6,01/07/13,8685,"4998","27","134946"
6,01/07/13,13015,"1198","2","2396"
6,01/07/13,14138,"9584","16","153344"
6,01/07/13,17547,"1113","8","8904"
6,01/07/13,21618,"2388","12","28656"
6,01/07/13,3186,"40539","92","3729588"
6,01/07/13,18612,"399","1","399"
6,01/07/13,16385,"992","4","3968"
6,01/07/13,7401,"597","3","1791"
6,01/07/13,6636,"1399","1","1399"
6,01/07/13,2137,"1099","1","1099"
6,01/07/13,7131,"549","1","549"
6,01/07/13,18289,"1503","8","12024"
6,01/07/13,6109,"2495","5","12475"
6,01/07/13,59,"1355","6","8130"
6,01/07/13,177,"1000","4","4000"
6,01/07/13,21544,"2588.02","16","41408.32"
6,01/07/13,11116,"4193","7","29351"
6,01/07/13,10953,"745","5","3725"
6,01/07/13,6298,"2575","9","23175"
6,01/07/13,2243,"2100","11","23100"
6,01/07/13,7082,"6425.78","10","64257.8"
6,01/07/13,9905,"17301","11","190311"
6,01/07/13,6363,"299","1","299"
6,01/07/13,14468,"249","1","249"
6,01/07/13,1151,"8950","5","44750"
6,01/07/13,12461,"597","3","1791"
6,01/07/13,5980,"798","2","1596"
